Height,Weight
65.78331,112.9925
71.51521,136.4873
69.39874,153.0269
68.2166,142.3354
67.78781,144.2971
68.69784,123.3024
69.80204,141.4947
70.01472,136.4623
67.90265,112.3723
66.78236,120.6672
66.48769,127.4516
67.62333,114.143
68.30248,125.6107
67.11656,122.4618
68.27967,116.0866
71.0916,139.9975
66.461,129.5023
68.64927,142.9733
71.23033,137.9025
67.13118,124.0449
67.83379,141.2807
68.87881,143.5392
63.48115,97.90191
68.42187,129.5027
67.62804,141.8501
67.20864,129.7244
70.84235,142.4235
67.49434,131.5502
66.53401,108.3324
65.44098,113.8922
69.5233,103.3016
65.8132,120.7536
67.8163,125.7886
70.59505,136.2225
71.80484,140.1015
69.20613,128.7487
66.80368,141.7994
67.65893,121.2319
67.80701,131.3478
64.04535,106.7115
68.57463,124.3598
65.18357,124.8591
69.65814,139.6711
67.96731,137.3696
65.98088,106.4499
68.67249,128.7639
66.88088,145.6837
67.69868,116.819
69.82117,143.6215
69.08817,134.9325
69.91479,147.0219
67.33182,126.3285
70.26939,125.4839
69.10344,115.7084
65.38356,123.4892
70.18447,147.8926
70.40617,155.8987
66.54376,128.0742
66.36418,119.3701
67.537,133.8148
66.50418,128.7325
68.99958,137.5453
68.30355,129.7604
67.01255,128.824
70.80592,135.3165
68.21951,109.6113
69.05914,142.4684
67.73103,132.749
67.21568,103.5275
67.36763,124.7299
65.27033,129.3137
70.84278,134.0175
69.92442,140.3969
64.28508,102.8351
68.2452,128.5214
66.35708,120.2991
68.36275,138.6036
65.4769,132.9574
69.71947,115.6233
67.72554,122.524
68.63941,134.6254
66.78405,121.8986
70.05147,155.3767
66.27848,128.9418
69.20198,129.1013
