height,weight,height(cm),weight(kg)
65.78,112.99,167.0812,51.25136008
71.52,136.49,181.6608,61.91077208
69.4,153.03,176.276,69.41318376
68.22,142.34,173.2788,64.56428528
67.79,144.3,172.1866,65.4533256
68.7,123.3,174.498,55.9278936
69.8,141.49,177.292,64.17873208
70.01,136.46,177.8254,61.89716432
67.9,112.37,172.466,50.97013304
66.78,120.67,169.6212,54.73494664
66.49,127.45,168.8846,57.8103004
67.62,114.14,171.7548,51.77299088
68.3,125.61,173.482,56.97569112
67.12,122.46,170.4848,55.54687632
68.28,116.09,173.4312,52.65749528
71.09,140,180.5686,63.50288
66.46,129.5,168.8084,58.740164
68.65,142.97,174.371,64.85004824
71.23,137.9,180.9242,62.5503368
67.13,124.04,170.5102,56.26355168
67.83,141.28,172.2882,64.08347776
68.88,143.54,174.9552,65.10859568
63.48,97.9,161.2392,44.4066568
68.42,129.5,173.7868,58.740164
67.63,141.85,171.7802,64.3420252
67.21,129.72,170.7134,58.83995424
70.84,142.42,179.9336,64.60057264
67.49,131.55,171.4246,59.6700276
66.53,108.33,168.9862,49.13762136
65.44,113.89,166.2176,51.65959288
69.52,103.3,176.5808,46.8560536
65.81,120.75,167.1574,54.771234
67.82,125.79,172.2628,57.05733768
70.6,136.22,179.324,61.78830224
71.8,140.1,182.372,63.5482392
69.21,128.75,175.7934,58.39997
66.8,141.8,169.672,64.3193456
67.66,121.23,171.8564,54.98895816
67.81,131.35,172.2374,59.5793092
64.05,106.71,162.687,48.40280232
68.57,124.36,174.1678,56.40870112
65.18,124.86,165.5572,56.63549712
69.66,139.67,176.9364,63.35319464
67.97,137.37,172.6438,62.30993304
65.98,106.45,167.5892,48.2848684
68.67,128.76,174.4218,58.40450592
66.88,145.68,169.8752,66.07928256
67.7,116.82,171.958,52.98861744
69.82,143.62,177.3428,65.14488304
69.09,134.93,175.4886,61.20316856
69.91,147.02,177.5714,66.68709584
67.33,126.33,171.0182,57.30227736
70.27,125.48,178.4858,56.91672416
69.1,115.71,175.514,52.48513032
65.38,123.49,166.0652,56.01407608
70.18,147.89,178.2572,67.08172088
70.41,155.9,178.8414,70.7149928
66.54,128.07,169.0116,58.09152744
66.36,119.37,168.5544,54.14527704
67.54,133.81,171.5516,60.69514552
66.5,128.73,168.91,58.39089816
69,137.55,175.26,62.3915796
68.3,129.76,173.482,58.85809792
67.01,128.82,170.2054,58.43172144
70.81,135.32,179.8574,61.38006944
68.22,109.61,173.2788,49.71821912
69.06,142.47,175.4124,64.62325224
67.73,132.75,172.0342,60.214338
67.22,103.53,170.7388,46.96037976
67.37,124.73,171.1198,56.57653016
65.27,129.31,165.7858,58.65398152
70.84,134.02,179.9336,60.79039984
69.92,140.4,177.5968,63.6843168
64.29,102.84,163.2966,46.64740128
68.25,128.52,173.355,58.29564384
66.36,120.3,168.5544,54.5671176
68.36,138.6,173.6344,62.8678512
65.48,132.96,166.3192,60.30959232
69.72,115.62,177.0888,52.44430704
67.73,122.52,172.0342,55.57409184
68.64,134.63,174.3456,61.06709096
66.78,121.9,169.6212,55.2928648
70.05,155.38,177.927,70.47912496
66.28,128.94,168.3512,58.48615248
69.2,129.1,175.768,58.5587272
